Datum	F	G	N	S	V
2022-11-15	Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Elektrizitätsindustrie|Energie|Preis|Europäische Union|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Strafrecht|Altersversorgungssystem|Beschäftigung und Arbeitsbedingungen|Gesundheit|Gesundheit|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Finanzwesen|Kulturpolitik|Kunst|Museum|öffentliche Sicherheit|Umwelt|Kulturpolitik|Kunst|Museum|öffentliche Sicherheit|Umwelt		ausländischer Staatsangehöriger|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Gliedstaat|Informatik|Information und Informationsverarbeitung|Verwaltungsorganisation|Wissenschaften|Europäische Union|Flüchtling|Grenze|Menschenrechte|Gesundheit|Gesundheit|Behinderter|Verkehr|Energie|Handel|Industrie|Unternehmen und Wettbewerb|Öffentliche Finanzen und Haushaltspolitik|Sport|Betreuung von Pflegebedürftigen|Krankenpflege|Altersversorgungssystem|soziale Sicherheit|Familie|Kulturpolitik|Kunst|Tourismus|Verkehr|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|partizipative Demokratie|Bildung|Forschung und geistiges Eigentum|Organisation des Unterrichtswesens|Statistik|Wissenschaften|Altersversorgungssystem|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Flüchtling|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Gesundheit|Strafrecht|Sport|ausländischer Staatsangehöriger|ausländischer Staatsangehöriger|Bildung|Organisation des Unterrichtswesens|ausländischer Staatsangehöriger|junger Mensch|Primarstufe|Behinderter|Bildung|Organisation des Unterrichtswesens	Elektrizitätsindustrie|Energie|Preis|Familie|Kulturpolitik|Kunst|Internet	
2022-11-16			Elektrizitätsindustrie|Straßenverkehr|Umwelt|Handel|Industrie|Unternehmen und Wettbewerb	Gesundheit|Gliedstaat|Behinderter|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Hochschulausbildung|Flüchtling|Öffentliche Finanzen und Haushaltspolitik|Sozialpolitik	
2022-11-17	Flüchtling|Grenze|Politik der Zusammenarbeit|Bildung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Straßenverkehr|öffentliche Sicherheit|Straßenverkehr|Bildung|Gesundheit|Organisation des Unterrichtswesens|Sport|Steuerwesen	Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|soziale Sicherheit|Bildung|junger Mensch|Organisation des Unterrichtswesens|Sozialpolitik|Gesundheit|Gesundheit|öffentliches Eigentum|Europäische Union|Gesundheit|Wirtschaft	Europäische Union|Gesundheit|Wirtschaft	Bildung|Organisation des Unterrichtswesens|Forschung und geistiges Eigentum|Land- und Forstwirtschaft, Fischerei|Umwelt|Wissenschaften	Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|soziale Sicherheit|Bildung|junger Mensch|Organisation des Unterrichtswesens|Sozialpolitik|Gesundheit|Gesundheit|öffentliches Eigentum|Europäische Union|Gesundheit|Wirtschaft
2022-11-18	ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Steuerwesen|Straßenverkehr|Vereinsleben|Versammlungsfreiheit|Zivilschutz|öffentliche Sicherheit|Beschäftigung und Arbeitsbedingungen|Flüchtling|Sozialpolitik|Steuerwesen|Steuerwesen|Straßenverkehr|Vereinsleben|Versammlungsfreiheit|Zivilschutz|Fischerei|Handel|Industrie|Jagd|Unternehmen und Wettbewerb|Flüchtling|Öffentliche Finanzen und Haushaltspolitik|Umwelt|soziale Sicherheit|Strafrecht|Europäische Union|Menschenrechte|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Altersversorgungssystem|Preis|Europäische Union|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Europäische Union|Menschenrechte|Frau|Gleichbehandlung|Sport|Land- und Forstwirtschaft, Fischerei|partizipative Demokratie|Tiermedizin|Tierschutz|Familie|Familienleistungsausgleich|Steuerwesen|Bildung|Gesundheit|Organisation des Unterrichtswesens|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Vereinsleben|Versammlungsfreiheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|soziale Sicherheit|Strafrecht|soziale Sicherheit|Strafrecht|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Flüchtling|öffentliche Sicherheit	Familienleistungsausgleich|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Verfassung|Verwaltungsrecht|Wirtschaft|öffentliche Sicherheit|Elektrizitäts- und Kernkraftindustrie|Europäische Union|partizipative Demokratie|Staatschef|Wahl|ausländischer Staatsangehöriger|Flüchtling|Staatsangehöriger|Internationale Beziehungen|Menschenrechte|Völkerrecht|Fischerei|Handel|Industrie|Jagd|Unternehmen und Wettbewerb|Energie|Umwelt|Verfassung|Gesundheit|Notar|öffentliche Verwaltung|öffentlicher Dienst|Rechtsanwalt|Strafrecht|Gesundheit|Opferhilfe|soziale Sicherheit|Elektrizitätsindustrie|Energie|Verfassung|Arbeitsrecht|Betreuung von Pflegebedürftigen|Krankenpflege|Internationale Beziehungen|Menschenrechte|soziale Sicherheit|Arbeitsrecht|Buchprüfung|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|öffentliches Eigentum|soziale Sicherheit|Elektrizitätsindustrie|Preis|Sozialpolitik|Elektrizitätsindustrie|Energie|Steuerwesen|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|Elektrizitätsindustrie	öffentliche Sicherheit|Fischerei|Handel|Industrie|Jagd|Unternehmen und Wettbewerb|Internationale Beziehungen|Menschenrechte	öffentliche Sicherheit|Elektrizitäts- und Kernkraftindustrie|Frau|Gesundheit|Gleichbehandlung|Gesundheit|Politik der Zusammenarbeit|Beschäftigung und Arbeitsbedingungen|Handel|Industrie|Preis|Unternehmen und Wettbewerb|Familienleistungsausgleich|Straßenverkehr|vorschulische Erziehung|Forschung und geistiges Eigentum|Frau|Gesundheit|Gleichbehandlung|Wissenschaften|Fischerei|Handel|Industrie|Jagd|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|vorschulische Erziehung|Frau|Gesundheit|Gleichbehandlung|Internationale Beziehungen|Menschenrechte|Internationale Beziehungen|Finanzwesen|Öffentliche Finanzen und Haushaltspolitik|Vereinsleben|Versammlungsfreiheit|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Wirtschaft|Land- und Forstwirtschaft, Fischerei|Sport|junger Mensch|Kulturpolitik|Kunst|Sozialpolitik	Familienleistungsausgleich|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Verfassung|Verwaltungsrecht|Wirtschaft|öffentliche Sicherheit|Elektrizitäts- und Kernkraftindustrie|Europäische Union|partizipative Demokratie|Staatschef|Wahl|ausländischer Staatsangehöriger|Flüchtling|Staatsangehöriger|Internationale Beziehungen|Menschenrechte|Völkerrecht|Fischerei|Handel|Industrie|Jagd|Unternehmen und Wettbewerb|Energie|Umwelt|Verfassung|Gesundheit|Notar|öffentliche Verwaltung|öffentlicher Dienst|Rechtsanwalt|Strafrecht|Gesundheit|Opferhilfe|soziale Sicherheit|Elektrizitätsindustrie|Energie|Verfassung|Arbeitsrecht|Betreuung von Pflegebedürftigen|Krankenpflege|Internationale Beziehungen|Menschenrechte|soziale Sicherheit|Arbeitsrecht|Buchprüfung|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|öffentliches Eigentum|soziale Sicherheit|Elektrizitätsindustrie|Preis|Sozialpolitik|Elektrizitätsindustrie|Energie|Steuerwesen|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|Elektrizitätsindustrie
2022-12-06		Internationale Beziehungen		Internationale Beziehungen	Internationale Beziehungen
2022-12-13	Altersversorgungssystem|soziale Sicherheit|Altersversorgungssystem|Beschäftigung und Arbeitsbedingungen|öffentliche Sicherheit|Umwelt|Ausweis|Behinderter|Flüchtling|öffentliche Sicherheit|Ausweis|Behinderter|Beschäftigung und Arbeitsbedingungen|Flüchtling|Sozialpolitik|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen	Gesundheit|Hochschulausbildung	Politische Partei|Europäische Union|Gesundheit|Statistik|Straßenverkehr|Informatik|Information und Informationsverarbeitung|Internet|Öffentliche Finanzen und Haushaltspolitik|Presse|Altersversorgungssystem|Fernsehen|Hörfunk|Flüchtling|Gliedstaat|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|öffentliche Verwaltung|öffentlicher Dienst|Frau|Gleichbehandlung|junger Mensch|öffentliche Sicherheit|Hochschulausbildung|Handel|Industrie|Unternehmen und Wettbewerb|Altersversorgungssystem|Exekutive|Fernsehen|Hörfunk|Öffentliche Finanzen und Haushaltspolitik|Presse|Gerichtswesen|Presse	Familienleistungsausgleich|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|Öffentliche Finanzen und Haushaltspolitik|Politik der Zusammenarbeit|Strafrecht	Gesundheit|Hochschulausbildung
2022-12-14	Frau|Gleichbehandlung|Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|direkt gewählte Kammer|Betreuung von Pflegebedürftigen|Gliedstaat|Krankenpflege|Steuerwesen|Bildung|Frau|Gleichbehandlung|Organisation des Unterrichtswesens|Betreuung von Pflegebedürftigen|Gliedstaat|Krankenpflege|Steuerwesen|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Exekutive|Misstrauensantrag	Elektrizitätsindustrie		Bildung|Gesundheit|Organisation des Unterrichtswesens|Strafrecht|Handel|Industrie|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|Unternehmen und Wettbewerb|Verwaltungsorganisation|Menschenrechte|Sozialpolitik|Gesundheit|Gesundheit|Preis|Arbeitsrecht|Umwelt|Verkehr|Internet|Menschenrechte|Strafrecht|Verwaltungskontrolle|Elektrizitätsindustrie	Elektrizitätsindustrie
2022-12-15	Hochschulausbildung|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Elektrizitätsindustrie|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Fischerei|Jagd|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|ausländischer Staatsangehöriger|öffentliche Sicherheit|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|öffentliche Sicherheit|Wissenschaften|Internationale Beziehungen|Menschenrechte|Gliedstaat|partizipative Demokratie|Opferhilfe|Verfassung|Internationale Beziehungen|Menschenrechte|Religion|Internationale Beziehungen|Menschenrechte	Altersversorgungssystem|Arbeitslosenversicherung|soziale Sicherheit|Energie|Verfassung|Energie|Preis|Sozialpolitik|Wohnungspolitik|Öffentliche Finanzen und Haushaltspolitik|Energie|Öffentliche Finanzen und Haushaltspolitik|Bürgerliches Recht|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Betreuung von Pflegebedürftigen|Einkommen|Krankenpflege|Verwaltung und Entlohnung des Personals|Arbeitsrecht|Bildung|Notar|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Rechtsanwalt|Opferhilfe|Verfassung|Internationale Beziehungen|Menschenrechte	Bürgerliches Recht|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Behinderter|Forschung und geistiges Eigentum|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Internationale Beziehungen|Menschenrechte|Gliedstaat|partizipative Demokratie|Opferhilfe|Verfassung|Internationale Beziehungen|Menschenrechte	Bürgerliches Recht|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Internationale Beziehungen|Menschenrechte|Gliedstaat|partizipative Demokratie|Opferhilfe|Verfassung|Internationale Beziehungen|Menschenrechte	Altersversorgungssystem|Arbeitslosenversicherung|soziale Sicherheit|Energie|Verfassung|Energie|Preis|Sozialpolitik|Wohnungspolitik|Öffentliche Finanzen und Haushaltspolitik|Energie|Öffentliche Finanzen und Haushaltspolitik|Bürgerliches Recht|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Betreuung von Pflegebedürftigen|Einkommen|Krankenpflege|Verwaltung und Entlohnung des Personals|Arbeitsrecht|Bildung|Notar|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Rechtsanwalt|Opferhilfe|Verfassung|Internationale Beziehungen|Menschenrechte
2023-01-17		Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik			Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik
2023-01-25	Wohnungspolitik|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|direkt gewählte Kammer|Europäische Union|Verfassung|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Exekutive|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Filmindustrie|Öffentliche Finanzen und Haushaltspolitik|direkt gewählte Kammer|Europäische Union|Verfassung|Internet|junger Mensch|Strafrecht|Behinderter|Elektrizitätsindustrie|Preis|Sozialpolitik	Energie|Wohnungspolitik		Wohnungspolitik|Bergbau|Agrarerzeugnisse und Lebensmittel|Energie|Parlamentsdebatte|Preis|Steuerwesen|Umwelt|Wohnungspolitik|Arbeitsrecht|Finanzwesen|Wohnungspolitik|Altersversorgungssystem|Altersversorgungssystem|Finanzwesen|Wohnungspolitik	Energie|Wohnungspolitik
2023-01-31	Arbeitsrecht|Altersversorgungssystem|Altersversorgungssystem|Beschäftigung und Arbeitsbedingungen|Altersversorgungssystem	Flüchtling|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|ethnische Gruppe|Internationale Beziehungen|Vereinte Nationen|Völkerrecht	Arbeitsrecht|Steuerwesen|Gerichtswesen|Bildung|Gesundheit|Organisation des Unterrichtswesens|Bildung|Gesundheit|Organisation des Unterrichtswesens|Straßenverkehr|diplomatische Beziehungen|Internationale Beziehungen|Hochschulausbildung|vorschulische Erziehung|Arbeitsrecht|Fernsehen|Hörfunk|Verteidigung|Familie|Straßenverkehr|Familie|vorschulische Erziehung|Öffentliche Finanzen und Haushaltspolitik|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|Opferhilfe|Altersversorgungssystem|Gesundheit|soziale Sicherheit|junger Mensch|Strafrecht|Handel|Industrie|Unternehmen und Wettbewerb|Flüchtling|Gliedstaat|Familie|Europäische Union|Internationale Beziehungen|öffentliche Verwaltung|öffentlicher Dienst|Altersversorgungssystem|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Straßenverkehr|Internationale Beziehungen|Elektrizitätsindustrie|ethnische Gruppe|Internationale Beziehungen|Vereinte Nationen|Völkerrecht	Wasser|Wasserbewirtschaftung|Zivilschutz|Strafrecht|ehrende Auszeichnung|Frau|Gleichbehandlung|direkt gewählte Kammer|Öffentliche Finanzen und Haushaltspolitik|Vereinte Nationen|Staatswald|Umwelt|Politische Partei|Strafrecht|Straßenverkehr|ethnische Gruppe|Internationale Beziehungen|Vereinte Nationen|Völkerrecht	Flüchtling|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|ethnische Gruppe|Internationale Beziehungen|Vereinte Nationen|Völkerrecht
2023-02-01	Sozialpolitik|Wohnungspolitik|Familie|Gesundheit|Zivilschutz|Betreuung von Pflegebedürftigen|Einkommen|Gliedstaat|Krankenpflege|Steuerwesen|Verwaltung und Entlohnung des Personals|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb	ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung	Arbeitsrecht|Strafrecht|Arbeitsrecht	junger Mensch|Kulturpolitik|Kunst|öffentliche Sicherheit|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Frau|Gesundheit|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Bildung|junger Mensch|öffentliche Sicherheit|Organisation des Unterrichtswesens|vorschulische Erziehung|Beschäftigung und Arbeitsbedingungen|Bildung|Gliedstaat|Organisation des Unterrichtswesens|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|Schienentransport|soziale Sicherheit|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Apotheke|Gesundheit|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Behinderter|Bildung|Organisation des Unterrichtswesens|Frau|Gesundheit|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Agrarerzeugnisse und Lebensmittel|Europäische Union|Handel|Industrie|Sozialpolitik|Unternehmen und Wettbewerb|Abfall|Abfallwirtschaft|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung
2023-02-14		Gesundheit|junger Mensch			Gesundheit|junger Mensch
2023-02-24	Familie|Strafrecht|Altersversorgungssystem|soziale Sicherheit|Europäische Union|Internationale Beziehungen|Neutralität|Wirtschaft|Handel|Industrie|Internationale Beziehungen|Neutralität|Unternehmen und Wettbewerb|Verteidigung|Wirtschaft	Internationale Beziehungen|Strafrecht|Völkerrecht	Energie|Internationale Beziehungen|öffentliche Sicherheit|Verteidigung	Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|junger Mensch|Fernsehen|Hörfunk|Sport|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Neutralität|öffentliche Sicherheit|Verteidigung|Internationale Beziehungen|Strafrecht|Völkerrecht	Internationale Beziehungen|Strafrecht|Völkerrecht
2023-03-01	Frau|Gesundheit|Gleichbehandlung|junger Mensch|öffentliche Sicherheit|Sport|Steuerwesen|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Fernsehen|Hörfunk|Parlamentsdebatte|Bildung|Organisation des Unterrichtswesens|Altersversorgungssystem|soziale Sicherheit|Schienentransport|Straßen- und Brückenbau|Schienentransport|Elektrizitätsindustrie|Preis|Sozialpolitik|Elektrizitätsindustrie|Preis|Frau|Gesundheit|Gleichbehandlung|Arbeitsrecht|Europäische Union|internationales Arbeitsrecht|Verfassung|Öffentliche Finanzen und Haushaltspolitik|Strafrecht|Umwelt|Frau|Gesundheit|Gleichbehandlung|junger Mensch|öffentliche Sicherheit|Straßenverkehr|Altersversorgungssystem|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Europäische Union|Land- und Forstwirtschaft, Fischerei|Fernsehen|Hörfunk|Sport|Agrarerzeugnisse und Lebensmittel|Europäische Union|Land- und Forstwirtschaft, Fischerei|Energie|öffentliche Sicherheit|Politische Partei|Gesundheit|Gesundheit|Agrarerzeugnisse und Lebensmittel|Europäische Union|Land- und Forstwirtschaft, Fischerei|Gesundheit|soziale Sicherheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Strafrecht|Umwelt|Gesundheit|soziale Sicherheit|Fernsehen|Hörfunk|Sport|Exekutive|Misstrauensantrag|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|namentliche Abstimmung|öffentliche Sicherheit|Umwelt|Gesundheit|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Frau|Gesundheit|Gleichbehandlung|ausländischer Staatsangehöriger|öffentliche Sicherheit	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Telekommunikation|Energie|Öffentliche Finanzen und Haushaltspolitik|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Forschung und geistiges Eigentum|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Wissenschaften|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Betreuung von Pflegebedürftigen|Krankenpflege|öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|Europäische Union|internationales Arbeitsrecht|Verfassung|Politische Partei|Steuerwesen|Umwelt	Steuerwesen|Forschung und geistiges Eigentum|Informatik|Information und Informationsverarbeitung|Statistik|Wissenschaften|Bildung|Organisation des Unterrichtswesens|Familie|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Gliedstaat|Politische Partei|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Personenstand|Europäische Union|Informatik|Information und Informationsverarbeitung|Luftverkehr|Agrarerzeugnisse und Lebensmittel|Bildung|Organisation des Unterrichtswesens|Forschung und geistiges Eigentum|Informatik|Information und Informationsverarbeitung|Statistik|Wissenschaften|Betreuung von Pflegebedürftigen|Krankenpflege|Schienentransport|Handel|Industrie|Unternehmen und Wettbewerb|ethnische Gruppe|Menschenrechte|öffentliche Sicherheit|Agrarerzeugnisse und Lebensmittel|Bildung|Organisation des Unterrichtswesens|Arbeitsrecht|Europäische Union|internationales Arbeitsrecht|Verfassung|Steuerwesen|ausländischer Staatsangehöriger|Flüchtling|Handel|Industrie|Unternehmen und Wettbewerb|Völkerrecht|Filmindustrie|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Internationale Beziehungen|Sport|Wirtschaft|Gesundheit|Informatik|Information und Informationsverarbeitung|Exekutive|Öffentliche Finanzen und Haushaltspolitik|Tourismus|Fernsehen|Hörfunk|Politische Partei|Fernsehen|Hörfunk|Gesundheit|Menschenrechte|Arbeitsrecht|Steuerwesen	Arbeitsrecht|Fernsehen|Hörfunk|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Fernsehen|Hörfunk|Sport|öffentliches Eigentum|Strafrecht|Finanzwesen|Geschäftsordnung des Parlaments|Öffentliche Finanzen und Haushaltspolitik|Presse|Erwachsenenbildung|Öffentliche Finanzen und Haushaltspolitik|Handel|Industrie|Unternehmen und Wettbewerb|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Europäische Union|junger Mensch|Sozialpolitik|Land- und Forstwirtschaft, Fischerei|Handel|Industrie|Preis|Unternehmen und Wettbewerb|Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Europäische Union|Forschung und geistiges Eigentum|Land- und Forstwirtschaft, Fischerei|Wissenschaften|Energie|Preis|Wirtschaft|Bildung|Gesundheit|Organisation des Unterrichtswesens|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Arbeitsrecht|Arbeitsrecht|soziale Sicherheit|Arbeitsrecht|Europäische Union|internationales Arbeitsrecht|Verfassung|Europäische Union|junger Mensch|Sozialpolitik|Agrarerzeugnisse und Lebensmittel|Europäische Union|Forschung und geistiges Eigentum|Land- und Forstwirtschaft, Fischerei|Wissenschaften|Bürgerliches Recht|Handel|Industrie|Unternehmen und Wettbewerb|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|Opferhilfe|Sport|Politische Partei|Agrarerzeugnisse und Lebensmittel|Europäische Union|Forschung und geistiges Eigentum|Land- und Forstwirtschaft, Fischerei|Wissenschaften|Elektrizitätsindustrie|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Internationale Beziehungen|Internationale Beziehungen|Presse|Wohnungspolitik|Europäische Union|junger Mensch|Sozialpolitik|Fernsehen|Hörfunk|Sport|Bildung|Gesundheit|Organisation des Unterrichtswesens|Elektrizitätsindustrie|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Umwelt	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Telekommunikation|Energie|Öffentliche Finanzen und Haushaltspolitik|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Forschung und geistiges Eigentum|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Wissenschaften|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Betreuung von Pflegebedürftigen|Krankenpflege|öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|Europäische Union|internationales Arbeitsrecht|Verfassung|Politische Partei|Steuerwesen|Umwelt
